X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
911,613
911,613
889,593
872,564
858,528
848,497
840,472
840,472
834,452
830,436
827,426
824,418
821,413
821,413
819,410
818,408
817,408
817,407
817,408
817,408
818,408
818,408
818,408
817,408
816,407
816,407
815,407
815,407
815,407
815,407
815,407
815,407
815,406
815,406
816,406
816,406
816,406
816,406
814,404
810,401
803,395
793,389
781,380
781,380
768,372
757,366
747,361
738,356
730,354
730,354
723,352
716,352
709,353
702,354
694,355
694,355
687,355
679,355
671,356
664,356
659,356
659,356
655,356
653,356
653,356
654,355
655,355
655,355
656,354
657,354
658,354
658,353
658,353
658,353
659,353
659,353
659,353
659,353
659,353
659,353
659,353
659,353
659,353
659,353
659,354
659,354
659,354
659,354
660,355
662,356
667,358
667,358
673,363
681,370
691,379
703,392
719,408
719,408
736,426
756,449
779,476
805,509
835,546
835,546
867,580
901,604
937,621
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
